Species,sppCode,Time_rad,pa_type
Conepatus semistriatus,Csem,4.9436102,strict
Conepatus semistriatus,Csem,0.100530965,strict
Conepatus semistriatus,Csem,1.016619383,strict
Conepatus semistriatus,Csem,1.234645913,strict
Conepatus semistriatus,Csem,5.170433189,strict
Conepatus semistriatus,Csem,2.046433455,strict
Conepatus semistriatus,Csem,0.964468945,strict
Conepatus semistriatus,Csem,0.523389336,strict
Conepatus semistriatus,Csem,1.50105297,multiple-use
Conepatus semistriatus,Csem,2.329805112,multiple-use
Conepatus semistriatus,Csem,0.388300852,multiple-use
Conepatus semistriatus,Csem,1.902548511,multiple-use
Conepatus semistriatus,Csem,0.453645979,multiple-use
Conepatus semistriatus,Csem,4.088468679,multiple-use
Conepatus semistriatus,Csem,0.41908846,multiple-use
Conepatus semistriatus,Csem,0.846345061,multiple-use
Dasypus sp,Dnov,4.568504037,multiple-use
Conepatus semistriatus,Csem,5.58072519,multiple-use
Conepatus semistriatus,Csem,2.229902466,multiple-use
Conepatus semistriatus,Csem,2.561026331,multiple-use
Conepatus semistriatus,Csem,6.187052572,multiple-use
Conepatus semistriatus,Csem,1.561999867,multiple-use
Conepatus semistriatus,Csem,2.403946699,multiple-use
Conepatus semistriatus,Csem,1.797619316,multiple-use
Conepatus semistriatus,Csem,1.239044143,multiple-use
Conepatus semistriatus,Csem,2.055229914,multiple-use
Conepatus semistriatus,Csem,1.365964486,multiple-use
Conepatus semistriatus,Csem,5.912477374,multiple-use
Conepatus semistriatus,Csem,2.077221063,multiple-use
Conepatus semistriatus,Csem,1.287424669,multiple-use
Conepatus semistriatus,Csem,2.342999801,multiple-use
Conepatus semistriatus,Csem,1.457070673,multiple-use
Conepatus semistriatus,Csem,1.570796327,multiple-use
Conepatus semistriatus,Csem,1.142911407,multiple-use
Conepatus semistriatus,Csem,5.022150016,multiple-use
Dasypus sp,Dnov,6.082751696,multiple-use
Conepatus semistriatus,Csem,1.627344995,multiple-use
Conepatus semistriatus,Csem,5.432442017,multiple-use
Conepatus semistriatus,Csem,1.671327292,multiple-use
Conepatus semistriatus,Csem,1.579592786,multiple-use
Conepatus semistriatus,Csem,0.039584067,multiple-use
Conepatus semistriatus,Csem,5.947034893,multiple-use
Conepatus semistriatus,Csem,5.964627812,multiple-use
Dasypus sp,Dnov,0.405893771,strict
Dasypus sp,Dnov,5.942636664,strict
Dasypus sp,Dnov,1.413716694,strict
Conepatus semistriatus,Csem,1.339575107,strict
Conepatus semistriatus,Csem,6.187052572,strict
Conepatus semistriatus,Csem,1.321982189,strict
Conepatus semistriatus,Csem,1.029814072,strict
Conepatus semistriatus,Csem,1.287424669,strict
Conepatus semistriatus,Csem,1.27422998,strict
Conepatus semistriatus,Csem,1.627344995,multiple-use
Conepatus semistriatus,Csem,1.523044118,multiple-use
Conepatus semistriatus,Csem,0.370707933,multiple-use
Conepatus semistriatus,Csem,5.842734017,multiple-use
Conepatus semistriatus,Csem,5.436840246,multiple-use
Dasypus sp,Dnov,0.082938046,multiple-use
Dasypus sp,Dnov,0.096132735,multiple-use
Conepatus semistriatus,Csem,1.378530856,multiple-use
Dasypus sp,Dnov,2.713707734,multiple-use
Conepatus semistriatus,Csem,0.327353955,multiple-use
Conepatus semistriatus,Csem,0.427884919,multiple-use
Conepatus semistriatus,Csem,0.994628234,multiple-use
Conepatus semistriatus,Csem,6.01238002,multiple-use
Dasypus sp,Dnov,2.914769664,multiple-use
Dasypus sp,Dnov,5.074300454,multiple-use
Dasypus sp,Dnov,3.648017389,multiple-use
Dasypus sp,Dnov,5.253371235,strict
Conepatus semistriatus,Csem,6.195849031,strict
Dasypus sp,Dnov,2.679150215,strict
Conepatus semistriatus,Csem,5.855300388,strict
Dasypus sp,Dnov,5.000158867,strict
Dasypus sp,Dnov,5.057335854,strict
Dasypus sp,Dnov,5.938238434,strict
Dasypus sp,Dnov,5.720211904,strict
Dasypus sp,Dnov,5.676857925,strict
Dasypus sp,Dnov,0.305362806,strict
Dasypus sp,Dnov,5.127079211,strict
Dasypus sp,Dnov,5.380291579,strict
Dasypus sp,Dnov,0.231221219,strict
Conepatus semistriatus,Csem,1.243442372,strict
Dasypus sp,Dnov,0.606327382,strict
Dasypus sp,Dnov,6.117309215,strict
Dasypus sp,Dnov,0.035185838,strict
Dasypus sp,Dnov,0.113725654,strict
Dasypus sp,Dnov,6.00421188,strict
Dasypus sp,Dnov,1.400522005,strict
Dasypus sp,Dnov,4.162610266,strict
Conepatus semistriatus,Csem,2.308442282,strict
Dasypus sp,Dnov,5.327512822,strict
Conepatus semistriatus,Csem,2.16392902,strict
Conepatus semistriatus,Csem,0.780999934,strict
Conepatus semistriatus,Csem,5.942636664,strict
Conepatus semistriatus,Csem,0.170274322,strict
Conepatus semistriatus,Csem,0.946876026,strict
Conepatus semistriatus,Csem,1.025415842,strict
Conepatus semistriatus,Csem,1.378530856,strict
Conepatus semistriatus,Csem,1.05180522,strict
Conepatus semistriatus,Csem,1.815212235,strict
Conepatus semistriatus,Csem,1.841601614,strict
Conepatus semistriatus,Csem,2.251265296,strict
Conepatus semistriatus,Csem,1.523044118,strict
Conepatus semistriatus,Csem,1.357168026,strict
Conepatus semistriatus,Csem,5.829539328,strict
Conepatus semistriatus,Csem,5.847132247,strict
Conepatus semistriatus,Csem,4.782132337,strict
Dasypus sp,Dnov,0.318557495,strict
Dasypus sp,Dnov,0.336150414,strict
Conepatus semistriatus,Csem,1.9327078,strict
Dasypus sp,Dnov,5.855300388,strict
Conepatus semistriatus,Csem,0.846345061,strict
Conepatus semistriatus,Csem,1.849769754,strict
Conepatus semistriatus,Csem,5.916875604,strict
Conepatus semistriatus,Csem,4.961203119,strict
Conepatus semistriatus,Csem,1.570796327,strict
Conepatus semistriatus,Csem,1.649336143,strict
Conepatus semistriatus,Csem,0.885929128,strict
Dasypus sp,Dnov,0.994628234,strict
Dasypus sp,Dnov,1.029814072,strict
Conepatus semistriatus,Csem,5.776760571,multiple-use
Conepatus semistriatus,Csem,5.877291536,multiple-use
Dasypus sp,Dnov,1.164902556,multiple-use
Conepatus semistriatus,Csem,0.331752184,multiple-use
Dasypus sp,Dnov,1.928309571,multiple-use
Conepatus semistriatus,Csem,0.096132735,multiple-use
Dasypus sp,Dnov,2.064026373,multiple-use
Conepatus semistriatus,Csem,0.554176944,multiple-use
Conepatus semistriatus,Csem,3.390406792,multiple-use
Dasypus sp,Dnov,6.161291512,multiple-use
Dasypus sp,Dnov,2.696743134,multiple-use
Dasypus sp,Dnov,0.951274256,multiple-use
Dasypus sp,Dnov,5.179229649,multiple-use
Conepatus semistriatus,Csem,4.995760638,multiple-use
Conepatus semistriatus,Csem,1.064371591,multiple-use
Conepatus semistriatus,Csem,0.663504368,multiple-use
Conepatus semistriatus,Csem,4.90905268,multiple-use
Conepatus semistriatus,Csem,5.742203052,multiple-use
Conepatus semistriatus,Csem,5.497787144,multiple-use
Conepatus semistriatus,Csem,1.139141496,multiple-use
Conepatus semistriatus,Csem,0.126292025,multiple-use
Conepatus semistriatus,Csem,0.1966637,multiple-use
Conepatus semistriatus,Csem,1.178097245,multiple-use
Conepatus semistriatus,Csem,1.239044143,multiple-use
Conepatus semistriatus,Csem,0.475637128,multiple-use
Conepatus semistriatus,Csem,0.571769863,multiple-use
Conepatus semistriatus,Csem,6.073955236,multiple-use
Dasypus sp,Dnov,3.407999711,multiple-use
Dasypus sp,Dnov,4.171406725,multiple-use
Dasypus sp,Dnov,0.183469011,multiple-use
Dasypus sp,Dnov,5.724610133,multiple-use
Dasypus sp,Dnov,0.392699082,multiple-use
Dasypus sp,Dnov,0.702460117,multiple-use
Dasypus sp,Dnov,4.851875694,multiple-use
Dasypus sp,Dnov,4.873866843,multiple-use
Conepatus semistriatus,Csem,0.811787542,multiple-use
Conepatus semistriatus,Csem,1.099557429,multiple-use
Conepatus semistriatus,Csem,0.938079566,multiple-use
Conepatus semistriatus,Csem,0.571769863,multiple-use
Conepatus semistriatus,Csem,1.07756628,multiple-use
Conepatus semistriatus,Csem,0.63271676,multiple-use
Conepatus semistriatus,Csem,1.27862821,multiple-use
Conepatus semistriatus,Csem,1.213283083,multiple-use
Dasypus sp,Dnov,4.983194267,multiple-use
Conepatus semistriatus,Csem,5.942636664,multiple-use
Dasypus sp,Dnov,4.72118544,multiple-use
Dasypus sp,Dnov,4.93921197,multiple-use
Dasypus sp,Dnov,5.226981857,multiple-use
Dasypus sp,Dnov,5.078698684,multiple-use
Dasypus sp,Dnov,5.759795971,multiple-use
Dasypus sp,Dnov,4.9436102,multiple-use
Dasypus sp,Dnov,4.969999578,multiple-use
Dasypus sp,Dnov,5.851530477,multiple-use
Dasypus sp,Dnov,5.087495143,multiple-use
Dasypus sp,Dnov,5.196822568,multiple-use
Dasypus sp,Dnov,0.305362806,multiple-use
Dasypus sp,Dnov,2.827433388,multiple-use
Dasypus sp,Dnov,3.202539551,multiple-use
Conepatus semistriatus,Csem,0.502026506,multiple-use
Conepatus semistriatus,Csem,6.226636639,multiple-use
Conepatus semistriatus,Csem,6.051964088,multiple-use
Conepatus semistriatus,Csem,5.921273833,multiple-use
Conepatus semistriatus,Csem,1.396123775,multiple-use
Conepatus semistriatus,Csem,5.951433123,multiple-use
Dasypus sp,Dnov,0.720053036,strict
Conepatus semistriatus,Csem,2.094185663,strict
Conepatus semistriatus,Csem,1.230247683,strict
Conepatus semistriatus,Csem,1.575194557,strict
Conepatus semistriatus,Csem,1.003424694,strict
Conepatus semistriatus,Csem,4.738778359,strict
Conepatus semistriatus,Csem,0.322955725,strict
Conepatus semistriatus,Csem,1.688920211,strict
Conepatus semistriatus,Csem,1.28302644,strict
Conepatus semistriatus,Csem,1.007822923,strict
Conepatus semistriatus,Csem,0.820584001,strict
Conepatus semistriatus,Csem,1.047406991,strict
Conepatus semistriatus,Csem,0.536584025,strict
Conepatus semistriatus,Csem,2.151362649,strict
Conepatus semistriatus,Csem,1.745468878,strict
Conepatus semistriatus,Csem,0.929283107,strict
